LINKID,CELLID,LAC,
123,20822,45452,
124,20822,45452,
10159,20822,25463,Chaoyang@Loujiang
10160,20823,25463,
10161,20824,25463,
10162,20825,25463,
10163,20826,25463,
10164,20827,25463,
10165,20828,25463,
131,20829,25463,
134,20830,25463,
132,20831,25463,
135,20832,25463,
133,20833,25463,
136,20834,25463,
10166,20835,25463,
10167,20836,25463,
10168,20837,25463,
10169,20838,25463,
10170,20839,25463,
10171,20840,25463,
10172,20841,25463,
137,20842,25463,
138,20843,25463,
139,20844,25463,
140,20845,25463,
141,20846,25463,
142,20847,25463,
10173,20848,25463,
10174,20849,25463,
10175,20850,25463,
10176,20851,25463,
10177,20852,25463,
10178,20853,25463,
10179,20854,25463,
143,20855,25463,
144,20856,25463,
145,20857,25463,
146,20858,25463,
147,20859,25463,
148,20860,25463,
10152,20861,25463,
10153,20862,25463,
10154,20863,25463,
10155,20864,25463,
10156,20865,25463,
10157,20866,25463,
10158,20867,25463,
125,20868,25463,
126,20869,25463,
127,20870,25463,
128,20871,25463,
129,20872,25463,
130,20873,25463,
10187,20874,25463,
10188,20875,25463,
10192,20876,25463,
10189,20877,25463,
10193,20878,25463,
10183,20879,25463,
10186,20880,25463,
10184,20881,25463,
10185,20882,25463,
10191,20883,25463,
10182,20884,25463,
10195,20885,25463,
10181,20886,25463,
10190,20887,25463,
10180,20888,25463,
10194,20889,25463,
339,20890,25463,
340,20891,25463,
10505,20822,54303,Zhenghe@Dongting
10506,20822,54303,
10507,20822,54303,
10508,20822,54303,
10509,20822,54303,
10510,20822,54303,
10511,20822,54303,
351,20822,54303,
352,20822,54303,
353,20822,54303,
354,20822,54303,
355,20822,54303,
356,20822,54303,
10512,20822,54303,
10513,20822,54303,
10514,20822,54303,
10515,20822,54303,
10516,20822,54303,
10517,20822,54303,
10518,20822,54303,
10519,20822,54303,
10520,20822,54303,
10521,20822,54303,
10522,20822,54303,
10523,20822,54303,
10524,20822,54303,
10525,20822,54303,
357,20822,54303,
358,20822,54303,
359,20822,54303,
360,20822,54303,
361,20822,54303,
362,20822,54303,
363,20822,54303,
364,20822,54303,
365,20822,54303,
366,20822,54303,
367,20822,54303,
368,20822,54303,
10498,20822,54303,
10499,20822,54303,
10500,20822,54303,
10501,20822,54303,
10502,20822,54303,
10503,20822,54303,
10504,20822,54303,
345,20822,54303,
346,20822,54303,
347,20822,54303,
348,20822,54303,
349,20822,54303,
350,20822,54303,
10538,20822,54303,
10535,20822,54303,
10529,20822,54303,
10536,20822,54303,
10539,20822,54303,
10540,20822,54303,
10530,20822,54303,
10527,20822,54303,
10537,20822,54303,
10528,20822,54303,
10533,20822,54303,
10532,20822,54303,
10534,20822,54303,
10531,20822,54303,
10526,20822,54303,
10541,20822,54303,
343,20822,54582,
344,20822,54582,
341,20822,24004,
606,20822,24004,
94,20822,42065,
608,20822,42065,
91,20822,25417,
607,20822,25417,
12,20822,41084,
609,20822,41084,
11,20822,55417,
610,20822,55417,
20,20822,25416,
613,20822,25416,
19,20822,54404,
614,20822,54404,
18,20822,25477,
615,20822,25477,
17,20822,54402,
616,20822,54402,
80,20822,41083,
611,20822,41083,
79,20822,45417,
612,20822,45417,
2,20822,54003,
617,20822,54003,
1,20822,54002,
618,20822,54002,
119,20822,54005,
619,20822,54005,
120,20822,25463,
620,20822,25463,
66,20822,54406,
621,20822,54406,
65,20822,25440,
622,20822,25440,
10196,20822,15440,Chaoyang@Dongting
10197,20822,15440,
10198,20822,15440,
10199,20822,15440,
10200,20822,15440,
10201,20822,15440,
10202,20822,15440,
10203,20822,15440,
10204,20822,15440,
10205,20822,15440,
10206,20822,15440,
10207,20822,15440,
10208,20822,15440,
10209,20822,15440,
10210,20822,15440,
10211,20822,15440,
10212,20822,15440,
10213,20822,15440,
10214,20822,15440,
10215,20822,15440,
10216,20822,15440,
10217,20822,15440,
10218,20822,15440,
10219,20822,15440,
10220,20822,15440,
10221,20822,15440,
10222,20822,15440,
10223,20822,15440,
153,20822,15440,
154,20822,15440,
155,20822,15440,
156,20822,15440,
157,20822,15440,
158,20822,15440,
159,20822,15440,
160,20822,15440,
161,20822,15440,
162,20822,15440,
163,20822,15440,
164,20822,15440,
165,20822,15440,
166,20822,15440,
167,20822,15440,
168,20822,15440,
169,20822,15440,
170,20822,15440,
171,20822,15440,
172,20822,15440,
173,20822,15440,
174,20822,15440,
175,20822,15440,
176,20822,15440,
177,20822,15440,
10238,20822,15440,
10229,20822,15440,
10235,20822,15440,
10228,20822,15440,
10232,20822,15440,
10231,20822,15440,
10236,20822,15440,
10237,20822,15440,
10234,20822,15440,
10225,20822,15440,
10239,20822,15440,
10226,20822,15440,
10230,20822,15440,
10224,20822,15440,
10227,20822,15440,
10233,20822,15440,
151,20822,54521,
152,20822,54521,
14,20822,25415,
624,20822,25415,
6,20822,42045,
626,20822,42045,
150,20822,54523,
627,20822,54523,
10542,20822,24113,Zhenghe@Dongcang
10543,20822,24113,
10544,20822,24113,
10545,20822,24113,
10546,20822,24113,
10547,20822,24113,
10548,20822,24113,
10549,20822,24113,
10550,20822,24113,
10551,20822,24113,
10552,20822,24113,
10553,20822,24113,
10554,20822,24113,
10555,20822,24113,
10556,20822,24113,
10557,20822,24113,
10558,20822,24113,
10559,20822,24113,
10560,20822,24113,
10561,20822,24113,
10562,20822,24113,
10563,20822,24113,
10564,20822,24113,
10565,20822,24113,
10566,20822,24113,
10567,20822,24113,
10568,20822,24113,
10569,20822,24113,
373,20822,24113,
374,20822,24113,
375,20822,24113,
376,20822,24113,
377,20822,24113,
378,20822,24113,
379,20822,24113,
380,20822,24113,
381,20822,24113,
382,20822,24113,
383,20822,24113,
384,20822,24113,
385,20822,24113,
386,20822,24113,
387,20822,24113,
388,20822,24113,
389,20822,24113,
390,20822,24113,
391,20822,24113,
392,20822,24113,
393,20822,24113,
394,20822,24113,
395,20822,24113,
396,20822,24113,
10573,20822,24113,
10580,20822,24113,
10582,20822,24113,
10579,20822,24113,
10572,20822,24113,
10575,20822,24113,
10576,20822,24113,
10583,20822,24113,
10571,20822,24113,
10584,20822,24113,
10574,20822,24113,
10578,20822,24113,
10577,20822,24113,
10581,20822,24113,
10585,20822,24113,
10570,20822,24113,
342,20822,14206,
605,20822,14206,
371,20822,40043,
372,20822,40043,
369,20822,54645,
629,20822,54645,
233,20822,24113,
631,20822,24113,
234,20822,55430,
632,20822,55430,
13,20822,25451,
623,20822,25451,
16,20822,25467,
634,20822,25467,
207,20822,15422,
636,20822,15422,
208,20822,24132,
635,20822,24132,
5,20822,54225,
625,20822,54225,
8,20822,54671,
638,20822,54671,
182,20822,54674,
639,20822,54674,
10240,20822,25487,Chaoyang@Dongcang
10241,20822,25487,
10242,20822,25487,
10243,20822,25487,
10244,20822,25487,
10245,20822,25487,
10246,20822,25487,
10247,20822,25487,
10248,20822,25487,
10249,20822,25487,
10250,20822,25487,
10251,20822,25487,
10252,20822,25487,
10253,20822,25487,
10254,20822,25487,
10255,20822,25487,
10256,20822,25487,
10257,20822,25487,
10258,20822,25487,
10259,20822,25487,
10260,20822,25487,
10261,20822,25487,
10262,20822,25487,
10263,20822,25487,
10264,20822,25487,
10265,20822,25487,
10266,20822,25487,
10267,20822,25487,
183,20822,25487,
184,20822,25487,
185,20822,25487,
186,20822,25487,
187,20822,25487,
